Source,Target,weight
211orangecounty,211tomp_cort,2.553249545333735e-4
211orangecounty,accesshelps,4.0480821881702157e-4
211orangecounty,accgov,6.521113932517491e-4
211orangecounty,ahfe_multco,4.644274680704359e-5
211orangecounty,akronohiomayor,8.676713023007582e-4
211orangecounty,alamedacounty,0.0017320842920813743
211orangecounty,alaskahousing,2.9018786669375053e-4
211orangecounty,alexandriavagov,7.687528617295543e-4
211orangecounty,allchicago_mhh,9.288710291651865e-4
211orangecounty,allegheny_co,9.764309198346825e-4
211orangecounty,alohaunitedway,5.697161421672654e-4
211orangecounty,archacadiana,3.9249991453846453e-4
211orangecounty,arlingtonva,9.415825577080453e-4
211orangecounty,atcaasince1981,0.01380669460922081
211orangecounty,atlantic_county,9.730649353830202e-4
211orangecounty,atxecho,0.0012983399362381887
211orangecounty,azhousing,0.0010367263623861477
211orangecounty,baltcogov,0.0018193441052067722
211orangecounty,baltimoremohs,8.63067710368233e-4
211orangecounty,bostonneighbor,9.277689957916704e-4
211orangecounty,browardcounty,0.001266731666564569
211orangecounty,buckscountygovt,2.74881021381354e-4
211orangecounty,burlconj,7.857945815920983e-4
211orangecounty,caajlh,9.686466011503334e-4
211orangecounty,cach_pa,2.419907526404193e-4
211orangecounty,cafthmemphis,9.085267755713949e-4
211orangecounty,caguasgovpr,2.1919232385879563e-4
211orangecounty,cambridgedhsp,0.0021609863850434174
211orangecounty,capecodgov,9.40110095598264e-4
211orangecounty,carrollcomd,5.269525900308663e-4
211orangecounty,casawspb,0.0011236540360684219
211orangecounty,ccehtweets,6.940627091660722e-4
211orangecounty,cecilcohealth,8.74232898478312e-4
211orangecounty,cedobtv,0.0010226152768323536
211orangecounty,ceoweinbergfb,0.0013505817605343555
211orangecounty,cfrpr,4.2023896123746037e-4
211orangecounty,champaignrpc,0.0010317139143835442
211orangecounty,chautopp,3.1698788632631607e-4
211orangecounty,chemungschuy_cc,1.6118588081558954e-4
211orangecounty,chescogovt,5.460675017083107e-4
211orangecounty,chnmi,7.635176542850329e-4
211orangecounty,city_of_roanoke,6.025696096355492e-4
211orangecounty,cityknoxvilletn,8.21304150710402e-4
211orangecounty,citylittlerock,4.920097311576012e-4
211orangecounty,cityofamarillo,4.8689210289368706e-4
211orangecounty,cityofasheville,0.0019333523368808662
211orangecounty,cityofaugusta,5.686739892726913e-4
211orangecounty,cityofboise,5.662764451741227e-4
211orangecounty,cityofdurhamnc,6.940329622743064e-4
211orangecounty,cityofhampton,2.923330724131291e-4
211orangecounty,cityoflincoln,8.848464905914635e-4
211orangecounty,cityoflowellma,4.4063538926011534e-4
211orangecounty,cityofmadison,8.573185944838458e-4
211orangecounty,cityofmborotn,3.956009580064609e-4
211orangecounty,cityofmodesto,0.00124743520935639
211orangecounty,cityofnormanok,5.802265786584419e-4
211orangecounty,cityofokc,8.825420576236727e-4
211orangecounty,cityofpeabodyma,1.5309306185226583e-4
211orangecounty,cityofportsva,6.075220138384893e-4
211orangecounty,cityofquincy,0.0017062673874771387
211orangecounty,cityofreno,4.644477529644324e-4
211orangecounty,cityofrockford,5.958285235990651e-4
211orangecounty,cityofsgf,5.631598846411177e-4
211orangecounty,cityoftopeka,5.174631842592833e-4
211orangecounty,cityoftrentonnj,6.154658986902695e-5
211orangecounty,cityofvabeach,8.388660730596495e-4
211orangecounty,cityofwaco,8.108282083430806e-4
211orangecounty,cityofws,9.524226398542258e-4
211orangecounty,citystjoemo,5.089792930971725e-4
211orangecounty,clackamascounty,0.0010508133993431146
211orangecounty,clarkcountynv,8.881147347364352e-4
211orangecounty,claycountymn,2.6085693115887094e-4
211orangecounty,coalicionpr,0.0016659568206402128
211orangecounty,coalicionsj,0.0015541991574989059
211orangecounty,cocoalition,9.135342878577602e-4
211orangecounty,cocohealth,0.0019946223635376042
211orangecounty,cohhio,0.001009627416750767
211orangecounty,collierhomeless,8.7561082508088e-4
211orangecounty,commshelterbd,2.3379197610629772e-4
211orangecounty,communitystc,7.342222447641124e-4
211orangecounty,countyeldorado,9.016503097253323e-4
211orangecounty,countymendocino,0.004787146734630533
211orangecounty,countyoferie,0.0010749661104454402
211orangecounty,countyofnapa,0.0027130416983244953
211orangecounty,countyofsb,0.003561024412054278
211orangecounty,countyofslo,9.33920612681608e-4
211orangecounty,countyofunionnj,5.655575152876635e-4
211orangecounty,countyventura,0.001017619948895596
211orangecounty,ctdmhas,5.109519147271326e-4
211orangecounty,cumberlandnc,8.363180015581448e-4
211orangecounty,cuyahogahhs,9.777118935921881e-4
211orangecounty,decipherhmis,6.541026304014671e-4
211orangecounty,delcocouncil,8.585881260866497e-4
211orangecounty,deptofamiliapr,1.5762744138876332e-4
211orangecounty,desmoinesgov,0.0011076460580303209
211orangecounty,dhhsnevada,0.00198603826053349
211orangecounty,doveinc_il,0.001161258514041087
211orangecounty,dupagecounty,2.2825039628003715e-4
211orangecounty,dutchesscogov,6.437449530813485e-4
211orangecounty,echousingsc,7.988235299288451e-4
211orangecounty,fairfaxcounty,8.794625509661593e-4
211orangecounty,fcsabq,5.24351140480452e-4
211orangecounty,firsthomesd,0.002710586431073932
211orangecounty,flacrany,5.257518627637497e-4
211orangecounty,flaglerhospital,0.0022408975155335602
211orangecounty,fpsussex,7.105656727215906e-4
211orangecounty,fredcitygovt,0.0015877297320220293
