twitter_handle,state,lat,long,org_type
ANCHomeless,AK,61.19153,-149.8866,non-profit
alaskahousing,AK,61.1836299,-149.9870756,government
wellskyhealth,AK,61.1836299,-149.9870756,non-profit
OneRoofBham,AL,33.505062,-86.804756,non-profit
housingfirstinc,AL,30.675972,-88.14862,non-profit
UnitedWayofNWAL,AL,34.8011121,-87.6754882,non-profit
handsonRR,AL,32.386646,-86.25742,non-profit
MidALHomeless,AL,32.386646,-86.25742,non-profit
tuscaloosacity,AL,33.210594,-87.56567,government
CityLittleRock,AR,34.748764,-92.2752,government
OCCHotSprings,AR,34.498173,-93.05416,non-profit
CASAwspb,AR,34.2226,-92.000534,government
AZHousing,AZ,33.44819,-112.08711,government
tucsonhcd,AZ,32.2250909,-110.983216,government
CrisisNetworkAZ,AZ,33.444866,-111.959076,non-profit
MAGregion,AZ,33.4517761,-112.0754889,government
sccgov,CA,37.379604,-121.922935,government
SF_HSH,CA,37.771595,-122.41938,government
alamedacounty,CA,37.661472,-122.08851,government
SacStepsForward,CA,38.604107,-121.51572,non-profit
HousingSoCo,CA,38.453327,-122.74136,government
cocohealth,CA,37.982677,-122.046486,government
chspmosb,CA,36.617764,-121.841156,non-profit
MarinHHS,CA,37.95682,-122.50157,government
cta_group_,CA,37.3371187,-121.8893909,non-profit
sccounty,CA,36.97856,-122.0212,government
countymendocino,CA,39.140705,-123.20602,government
cityofmodesto,CA,37.64068,-121.0005,government
sjgov,CA,37.95054,-121.26581,government
sanmateoco,CA,37.512383,-122.30943,government
kingsunitedway,CA,36.3263056,-119.6468589,non-profit
KT_Alliance,CA,36.3299974,-119.3493211,government
FresnoHousing,CA,36.7369215,-119.793945,government
ShastaHHSA,CA,40.5836,-122.39594,government
CountyofNapa,CA,38.249252,-122.274315,government
capsolano,CA,38.239017,-122.036865,government
ButteCAA,CA,39.7642368,-121.8662678,non-profit
MercedCounty,CA,37.2980331,-120.5193636,government
MCCAA_,CA,37.3058241,-120.4946184,non-profit
YCCC1,CA,38.678783,-121.77842,non-profit
YoloCountyHHSA,CA,38.682014,-121.79323,government
humcodhhs,CA,40.801792,-124.16591,government
GlennCoHHSA,CA,39.51791,-122.19011,government
TheCenterNow,CA,38.731426,-120.83413,non-profit
CountyElDorado,CA,38.727802,-120.82863,government
ATCAAsince1981,CA,38.3778545,-120.8029301,government
EmpowerTehama,CA,40.1688513,-122.2536462,non-profit
decipherhmis,CA,38.539879,-122.805733,non-profit
LakeCountyInfo,CA,39.0901708,-122.7963806,government
IMACA01,CA,37.3587276,-118.3941782,non-profit
LAHomeless,CA,34.04957,-118.25846,government
RTFHSD,CA,32.827595,-117.119514,non-profit
211orangecounty,CA,33.7603897,-117.8471234,government
ochealth,CA,33.7492873,-117.8713673,government
countyofsb,CA,34.4250638,-119.7029204,government
LBHealthDept,CA,33.781555,-118.20964,government
pasadenagov,CA,34.157223,-118.15058,government
RivCoDPSS,CA,33.9763313,-117.3679139,government
sbcounty,CA,36.06942,-119.01869,government
countyventura,CA,34.267864,-119.21287,government
myglendale,CA,34.14712,-118.24686,government
ImperialCntyCA,CA,32.7747,-115.55218,government
countyofslo,CA,35.25407,-120.66929,government
cocoalition,CO,39.751312,-104.98775,non-profit
M_D_H_I,CO,39.75183,-104.98389,non-profit
chpartnership,CO,38.8314057,-104.8231039,non-profit
uwcfc,CT,41.176018,-73.188515,government
CCEHTWEETS,CT,41.762863,-72.687904,non-profit
ctdmhas,CT,41.7641123,-72.6896332,government
partnershipdc,DC,38.884037,-76.99493,non-profit
thhiorg,FL,27.948576,-82.45534,non-profit
PCHLB,FL,27.77208,-82.64277,non-profit
vfcch,FL,29.22155,-81.02915,non-profit
h_halliance,FL,30.41342,-86.60514,non-profit
ApalacheeRPC,FL,30.478302,-84.30429,government
hsncfl,FL,28.508759,-81.42743,non-profit
unitedwayncfl,FL,29.653486,-82.40747,non-profit
homelesschange,FL,30.3186501,-81.6794781,non-profit
ecoh_talk,FL,30.424414,-87.273026,non-profit
FlaglerHospital,FL,29.862555,-81.31804,non-profit
MCFLCoC,FL,29.187977,-82.136955,non-profit
unitedwsv,FL,30.1592559,-82.6450947,non-profit
PascoHomeless,FL,28.237436,-82.720245,non-profit
MiamiDadeCounty,FL,25.77503,-80.19632,government
BrowardCounty,FL,26.12339,-80.14355,government
GCPCOC,FL,26.9340871,-82.0477583,non-profit
LeeCountyFLBOCC,FL,26.64124,-81.86475,government
pbcgov,FL,26.715765,-80.0523119,government
CollierHomeless,FL,26.245796,-81.7733,non-profit
partnersforhome,GA,33.732529,-84.3904374,non-profit
GA_DCA,GA,33.827938,-84.34133,government
fultoninfo,GA,33.757946,-84.38761,government
accgov,GA,33.966248,-83.399956,government
cityofaugusta,GA,33.46408,-81.97498,government
unitedwaycv,GA,32.46679,-84.9862,non-profit
CFRPR,GA,33.951718,-84.52312,non-profit
ItsInDeKalb,GA,33.77776,-84.293304,government
alohaunitedway,HI,21.3175,-157.86008,non-profit
locatesiouxcity,IA,42.496613,-96.4060304,government
ICAlliances,IA,41.600174,-93.62937,non-profit
DesMoinesGov,IA,41.591404,-93.617065,government
CityOfBoise,ID,43.615417,-116.20193,government
idahohousing,ID,43.6104714,-116.2038161,government
mchenrycountyil,IL,42.341,-88.4405,government
CityofRockford,IL,42.27694,-89.09185,government
lakecountyil,IL,42.3603845,-87.833091,government
champaignrpc,IL,40.105682,-88.18593,government
madisoncountyil,IL,38.813198,-89.95702,government
HOIUnitedWay,IL,40.698406,-89.60067,non-profit
stclaircocomm,IL,38.5141427,-89.9845758,government
AllChicago_MHH,IL,41.8827771,-87.6444716,non-profit
PATHCrisis,IL,40.477875,-88.99191,non-profit
mercycomm,IL,39.817913,-89.649254,non-profit
DuPageCounty,IL,41.8675376,-88.1427872,government
DoveInc_IL,IL,39.839104,-88.958855,non-profit
CFFRVfoundation,IL,41.88065,-88.308754,government
quincyywca,IL,39.929344,-91.40594,non-profit
IHCDA,IN,39.766175,-86.1583925,government
indydmd,IN,39.767,-86.15432,government
CHIPIndy,IN,39.8306,-86.180664,non-profit
unitedwayplains,KS,37.6892756,-97.3398454,non-profit
cityoftopeka,KS,39.0493748,-95.6683855,government
ucsjoco,KS,38.953804,-94.729836,government
kshomeless,KS,38.94819,-95.22344,non-profit
KYHousing,KY,38.17795,-84.900185,government
louhomeless,KY,38.232124,-85.76084,non-profit
LexingtonKyGov,KY,38.0441673,-84.4950457,government
archacadiana,LA,30.2240897,-92.0198427,non-profit
HOPEConnect2350,LA,32.48966,-93.76383,non-profit
unitygno,LA,29.96377,-90.08458,non-profit
NHC_EndHomeless,LA,30.364326,-90.06528,non-profit
LAHousingCorp,LA,30.402498,-91.126724,government
bostonneighbor,MA,42.359367,-71.059654,government
LynnCityHall,MA,42.46193,-70.95351,government
CapeCodGov,MA,41.70184,-70.30402,government
SpfldMACityHall,MA,42.10103,-72.5912,government
NewBedford_MA,MA,41.635056,-70.926956,government
cmhaonline,MA,42.272293,-71.80143,non-profit
capioneervalley,MA,42.587635,-72.59878,non-profit
cityoflowellma,MA,42.646965,-71.31323,government
CambridgeDHSP,MA,42.36943,-71.103386,government
CityofPeabodyMA,MA,42.52644,-70.92878,government
CityofQuincy,MA,42.252083,-71.00168,government
fallriver_ma,MA,41.7008286,-71.1545701,government
ma_dhcd,MA,42.36105,-71.06159,government
Somervillecity,MA,42.391815,-71.09675,government
SHCinc,MA,42.396587,-71.12228,non-profit
BaltimoreMOHS,MD,39.288826,-76.61508,government
harfordcaa,MD,39.431385,-76.33046,non-profit
ACDSinc,MD,38.980015,-76.49517,government
HoCoGov,MD,39.17633,-76.85262,government
BaltCoGov,MD,39.399677,-76.60552,government
CarrollCoMD,MD,39.57339,-76.987404,government
CecilCoHealth,MD,39.613632,-75.8313,government
ThreeOaksCenter,MD,38.250023,-76.48553,non-profit
FredCityGovt,MD,39.411816,-77.41128,government
msbehavioral,MD,38.792538,-76.08336,non-profit
wccacmd,MD,39.641075,-77.7244,non-profit
somersethdmd,MD,38.1254272,-75.7085876,government
PGCDSS,MD,38.89966,-76.853165,government
MontgomeryCoMD,MD,39.088245,-77.150665,government
Maine_Housing,ME,44.313454,-69.774925,government
MSHDA,MI,42.7341152,-84.5413851,government
HANDetroit,MI,42.34453,-83.07056,non-profit
WayneMetroCAA,MI,42.21311,-83.14969,non-profit
CHNmi,MI,42.59842,-83.17256,non-profit
