"countyname","state","fipscounty","msa","msaname","cbsa","cbsaname"
"AUTAUGA","AL","01001","5240","MONTGOMERY, AL","33860","Montgomery, AL"
"BALDWIN","AL","01003","5160","MOBILE, AL","",""
"BARBOUR","AL","01005","01","ALABAMA","",""
"BIBB","AL","01007","01","ALABAMA","13820","Birmingham-Hoover, AL"
"BLOUNT","AL","01009","1000","BIRMINGHAM, AL","13820","Birmingham-Hoover, AL"
"BULLOCK","AL","01011","01","ALABAMA","",""
"BUTLER","AL","01013","01","ALABAMA","",""
"CALHOUN","AL","01015","0450","ANNISTON,AL","11500","Anniston-Oxford, AL"
"CHAMBERS","AL","01017","01","ALABAMA","",""
"CHEROKEE","AL","01019","01","ALABAMA","",""
"CHILTON","AL","01021","01","ALABAMA","13820","Birmingham-Hoover, AL"
"CHOCTAW","AL","01023","01","ALABAMA","",""
"CLARKE","AL","01025","01","ALABAMA","",""
"CLAY","AL","01027","01","ALABAMA","",""
"CLEBURNE","AL","01029","01","ALABAMA","",""
"COFFEE","AL","01031","01","ALABAMA","",""
"COLBERT","AL","01033","2650","FLORENCE, AL","22520","Florence-Muscle Shoals, AL"
"CONECUH","AL","01035","01","ALABAMA","",""
"COOSA","AL","01037","01","ALABAMA","",""
"COVINGTON","AL","01039","01","ALABAMA","",""
"CRENSHAW","AL","01041","01","ALABAMA","",""
"CULLMAN","AL","01043","01","ALABAMA","",""
"DALE","AL","01045","2180","DOTHAN, AL","",""
"DALLAS","AL","01047","01","ALABAMA","",""
"DE KALB","AL","01049","01","ALABAMA","",""
"ELMORE","AL","01051","5240","MONTGOMERY, AL","33860","Montgomery, AL"
"ESCAMBIA","AL","01053","01","ALABAMA","",""
"ETOWAH","AL","01055","2880","GADSDEN, AL","23460","Gadsden, AL"
"FAYETTE","AL","01057","01","ALABAMA","",""
"FRANKLIN","AL","01059","01","ALABAMA","",""
"GENEVA","AL","01061","01","ALABAMA","20020","Dothan, AL"
"GREENE","AL","01063","01","ALABAMA","46220","Tuscaloosa, AL"
"HALE","AL","01065","01","ALABAMA","46220","Tuscaloosa, AL"
"HENRY","AL","01067","01","ALABAMA","20020","Dothan, AL"
"HOUSTON","AL","01069","2180","DOTHAN, AL","20020","Dothan, AL"
