,msa,msaname
0,5240,"MONTGOMERY, AL"
1,5160,"MOBILE, AL"
2,01,ALABAMA
4,1000,"BIRMINGHAM, AL"
7,0450,"ANNISTON,AL"
16,2650,"FLORENCE, AL"
22,2180,"DOTHAN, AL"
27,2880,"GADSDEN, AL"
39,2030,"DECATUR, AL"
40,0580,"AUBURN-OPELIKA, AL"
41,3440,"HUNTSVILLE, AL"
56,1800,"COLUMBUS, GA-AL"
62,8600,"TUSCALOOSA, AL"
68,02,ALASKA
70,0380,"ANCHORAGE,AK"
113,03,ARIZONA
115,2620,"FLAGSTAFF, ARIZONA-UTAH"
120,6200,"PHOENIX-MESA, AZ"
121,4120,"LAS VEGAS, NV-AZ"
123,8520,"TUCSON, AZ"
127,9360,"YUMA, AZ"
129,04,ARKANSAS
132,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR"
144,3700,"JONESBORO, AR"
145,2720,"FORT SMITH, AR-OK"
146,4920,"MEMPHIS, TN-AR-MS"
151,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR"
163,6240,"PINE BLUFF, AR"
174,8360,"TEXARKANA, TX-TEXARKANA, AR"
205,5775,"OAKLAND, CA"
206,05,CALIFORNIA
208,1620,"CHICO-PARADISE, CA"
213,6920,"SACRAMENTO, CA"
214,2840,"FRESNO, CA"
219,0680,"BAKERSFIELD, CA"
223,4480,"LOS ANGELES-LONG BEACH, CA"
226,7360,"SAN FRANCISCO, CA"
229,4940,"MERCED, CA"
232,7120,"SALINAS, CA"
233,8720,"VALLEJO-FARIFIELD-NAPA, CA"
235,5945,"ORANGE COUNTY, CA"
238,6780,"RIVERSIDE-SAN BERNADINO, CA"
242,7320,"SAN DIEGO, CA"
244,8120,"STOCKTON-LODI, CA"
245,7460,"SAN LUIS OBISPO-ATASCADERO-PASO ROBLES, CA"
247,7480,"SANTA BARBARA-SANTA MARIA-LOMPOC, CA"
248,7400,"SAN JOSE, CA"
249,7485,"SANTA CRUZ-WATSONVILLE, CA"
250,6690,"REDDING, CA"
254,7500,"SANTA ROSA, CA"
255,5170,"MODESTO, CA"
256,9340,"YUBA CITY, CA"
259,8780,"VISALIA-TULARE-PORTERVILLE, CA"
261,8735,"VENTURA, CA"
262,9270,"YOLO, CA"
265,2080,"DENVER, CO"
266,06,COLORADO
271,1125,"BOULDER-LONGMONT, CO"
286,1720,"COLORADO SPRINGS,  CO"
300,2670,"FORT COLLINS-LOVELAND, CO"
304,2995,"GRAND JUNCTION, CO"
316,6560,"PUEBLO, CO"
327,3060,"GREELEY, CO"
