"","ABW","AFG","AGO","ALB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHI","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CUB","CUW","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESH","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GLP","GMB","GNB","GNQ","GRC","GRD","GTM","GUF","GUM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MTQ","MUS","MWI","MYS","MYT","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRI","PRK","PRT","PRY","PSE","PYF","QAT","REU","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VIR","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"ABW",0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,61,1,0,3,25,0,0,0,0,203,0,0,2,0,33,0,0,15,0,0,227,0,0,0,0,0,1,0,0,0,0,3,0,0,47,0,0,0,0,0,0,0,8,21,0,2,0,8,0,0,0,29,0,0,4,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,314,0,0,0,0,0,0,11,21,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,407,0,16,162,40,0,0,0,0,0,0,0
"AFG",0,0,0,0,148,1,0,0,541,371,15,0,5,0,0,0,12,17,0,0,20,0,0,0,0,0,0,0,0,927,155,0,0,0,0,0,0,0,7,0,0,1,0,0,0,6,3637,0,113,0,0,1,13,0,0,3,0,0,11,0,229,0,0,545,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,29,0,1419,5,164767,20,0,219,15,0,6,0,8,0,10,0,0,0,62,0,0,0,33,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,1006,24,0,34,0,103155,0,0,2,0,13,0,0,0,0,0,0,28,0,0,1388,0,12325,0,0,0,0,0,0,0,0,0,0,0,9,0,279,0,0,7,0,0,0,4061,247,0,0,0,0,650,0,0,202,0,2366,187,0,0,0,0,0,0,0,3,0,0
"AGO",0,0,0,0,0,3,0,0,41,23,0,2,109,0,0,0,0,0,0,0,0,0,1,664,0,0,0,122,2,202,464,0,3,0,1,0,37038,2057,5,0,498,0,17,0,0,6,6,0,8,0,0,2,2,66,0,165,0,0,6,0,1282,0,45,339,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,0,0,28,0,0,2,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,6,0,0,0,0,1727,0,0,0,9,0,0,2673,0,0,0,0,283,5,0,2,0,0,0,1,78,0,4,0,0,17378,0,0,0,0,0,0,50,9,0,1,0,0,0,0,0,0,0,0,338,0,1,0,44,18,0,0,1,0,0,0,0,0,0,0,0,0,122,4,0,0,358,0,0,20,0,0,0,0,0,2279,14314,0
"ALB",0,0,0,0,7,73,2,1,1187,1267,0,0,1210,0,0,4,202,1,2,0,0,0,2,106,1,0,0,1,3,3790,846,0,16,11,0,0,0,0,18,0,1,2,32,0,395,86,10907,0,92,12,0,25,38,0,0,352,0,0,37,0,2035,0,0,2351,0,0,0,0,0,0,0,241345,1,0,0,0,1,29,2,94,0,94,0,0,148,0,24,12,146,141574,3,6,21,8,0,0,1,0,15,0,0,1,0,146,0,5,0,1,183,4,0,0,0,0,0,103,30641,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,371,91,0,16,0,0,2,0,310,0,41,32,1,46,7,4,0,0,0,200,455,0,0,0,0,3,0,0,0,0,430,0,0,0,51,45,470,0,0,0,0,0,0,0,0,0,0,0,4,2117,3,5,1,3,19978,0,0,10,0,1,0,0,0,321,0,0
"ARE",0,250,0,0,0,2,1,0,767,57,0,0,13,0,0,17406,11,969,0,0,9,0,1,7,0,2,2,1,8,3231,132,1,1,8,0,2,4,0,7,0,0,0,0,0,35,8,108,5,105,0,23,0,19868,368,0,21,0,1834,18,1,189,0,0,4077,0,0,0,0,0,0,0,59,0,0,0,3,0,16,0,0,0,71,6516,66672,83,30,618,1,35,72,0,5939,12,1,1572,0,0,0,3,2181,0,2357,0,1131,0,4974,0,7,0,0,0,206,0,0,2,1,1,0,4,3,0,0,0,6,0,0,0,45,0,0,0,0,129,0,204,25,247,10,5002,22579,0,0,6645,0,29,1,0,1,0,8518,0,12301,0,2,69,0,964,27284,0,14,0,0,0,339,17,0,0,0,20,0,172,0,0,1865,129,0,146,0,0,1,0,0,165,1350,3,3835,8,0,3611,0,0,4,0,0,0,0,50884,74,0,0
"ARG",5,9,77,22,92,0,82,3,6744,2372,9,1,2812,0,2,175,237,5,5,12,135,1,24748,21441,1,0,1,15,11,6892,5778,1,37944,1174,0,0,1,14,683,0,27,187,200,0,91,807,31862,0,945,1217,30,1376,101,0,0,65533,18,65,252,0,15453,1,0,8621,1,0,0,2,0,0,126,1602,2,48,2,1,7,29,64,281,72,1237,8,30,1311,116,49,47,16809,42344,3,706,4925,24,3,4,34,0,1254,1,46,2788,0,142,1,61,0,256,918,119,1,54,113,2,0,2374,1206,0,27,1,0,0,3,6,1,3,4,17,0,96,12,0,9,32,2074,407,3,387,3,9,194,2377,65,0,3934,277,31,3810,50859,225,0,2,1,514,1116,0,257,24,0,4,0,0,36,1,1054,0,1,15,474,318,2399,0,0,659,0,0,11,1,1,21,0,8,116,2327,33,49,500,21326,27830,8,0,1683,0,2,2,0,111,2037,0,0
"ARM",0,1,0,3,68,660,0,0,925,1541,145344,0,27,0,0,0,201,1,0,0,4289,0,3,14,0,0,0,0,6,1453,509,0,7,17,0,0,0,8,0,0,1,1,0,0,506,488,24645,0,352,1,0,17,62,0,0,706,317,0,973,0,3830,0,0,896,591,0,0,0,0,0,0,10249,0,0,0,0,0,0,0,3,0,275,0,0,80,6662,874,9,3137,425,0,464,268,3797,0,1861,2,0,44,1,0,1349,0,249,0,2,0,549,6,823,0,0,40,0,0,57,1,0,10,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,545,69,0,67,0,0,1,0,26,0,670,0,1,140,0,46,0,0,0,36,338998,0,182,0,0,0,0,0,0,0,218,0,0,0,121,8,411,0,0,536,0,0,0,103,5364,0,0,0,2,1600,0,7,38666,0,35720,4777,0,16,0,0,0,0,90,104,0,0
"ATG",4,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,56,0,0,0,0,442,27,0,1,7,0,0,0,0,3,0,0,0,1,1,0,1,6,0,0,118,0,0,3,0,0,1,0,0,0,0,7,0,0,1372,0,1,0,5,0,0,0,3,19,0,2,0,146,0,0,0,1,0,0,4,1,0,0,0,0,10,68,1,0,0,0,0,0,0,0,0,0,26,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,144,0,0,3,2,9,0,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,19,0,0,0,0,0,0,0,46,0,0,0,0,0,0,3040,0,47,3,406,0,0,0,0,10,0,0
"AUS",67,320,61,154,268,1968,35,5,0,3854,12,4,2098,2,2,411,175,74,38,1689,77,5,106,838,37,344,11,552,27,10421,3322,134,3553,12204,4,8,65,26,271,0,3,50,40,3,3692,2396,27967,5,1811,32,93,192,4874,126,0,3078,292,377,1477,3780,3811,1,5,146801,3,85,1,4,1,1,0,26949,7,42,3,10,36,7229,28,4946,6,4330,32903,9389,6502,4765,1209,60,3914,31405,75,1351,4321,55,636,20,10698,22,3171,122,933,43521,8,423,6,5041,7,536,120,1120,147,109,10,17,11,254,3606,2,6254,707,176,1,63,1,4,2223,791,12363,0,224,194,1,87,69,14695,660,58,47792,65,891,27,395,10172,1291,9439,13,41,2566,42,840,36,48,11,1248,1338,100,518,805,11,12769,86,8,623,47,5354,0,0,25,1062,925,2669,20,196,717,2,1,1179,9,12,4601,472,103,109,5349,215,297,1438,1315,19432,43,4,191,1,15546,155,550,265,43639,268,844
"AUT",0,1157,35,133,31,498,110,0,3351,0,65,10,461,4,5,167,714,3,3,6747,112,2,52,917,1,1,2,16,20,3231,6930,1,145,1119,11,37,83,38,124,0,2,22,51,0,37,4127,36889,2,327,310,84,72,1019,6,0,679,25,530,153,1,2216,0,2,3039,147,107,5,1,16,2,2,662,1,17,0,1,1,20,7,5208,22,2482,92,957,82,2030,495,20,1209,3776,11,159,265,92,133,42,254,0,10,15,6,417,3,217,2,57,0,63,229,64,1,110,107,5,3,163,1103,4,9,3,1597,22,3,1,0,7,19,65,0,126,0,2,416,15,1497,207,43,139,5,629,9,97,831,3,4801,3,189,141,15,69,0,4,1,2480,2502,54,68,349,11,45,0,5,4,86,14441,0,0,1,2062,1967,1061,2,2,232,1,9,195,29,13,1,0,4,476,11345,26,98,574,18,9717,67,1,175,0,205,0,0,92,1372,7,16
